data_id,university,tags,program_link,program_name,academic_level,programme_type,application_dates,fee_range,discipline,sub_discipline
3602,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication-and-psychology,Bachelor of Arts (Communication and Psychology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Communication
3551,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication-and-international-trade,Bachelor of Arts (Communication and International Trade),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Communication
3653,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication-and-sociology,Bachelor of Arts (Communication and Sociology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Communication
3704,University at Buffalo,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication,Bachelor of Arts (Communication),"Bachelor's Degree, single major","Full-time, 3 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$41,627.10 - S$74,556.00 (Singaporean & PR) / S$46,008.90 - S$82,404.00 (International student)",Arts & Social Sciences,Communication
6932,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-business-management-communications-and-year-in-industry-top-up,Bachelor of Science (Honours) Business Management with Communications and Year in Industry (Top-up),"Bachelor's Degree, Double Major, Top-up","Full-time, 2 years 4 months",Preparatory Course - Applications are closed |  Direct Entry - Now till 30 Apr 2025  (Local & International Applicants),"S$49,900.20 to S$54,369.20",Arts & Social Sciences,Communication
6878,University of Birmingham,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-business-management-communications-top-up,Bachelor of Science (Honours) Business Management with Communications (Top-up),"Bachelor's Degree, Double Major, Top-up","Full-time, 2 years",Preparatory Course - Applications are closed | Direct Entry - Now till 30 Apr 2025 (Local & International Applicants),"S$45,649.20 to S$49,802.10",Arts & Social Sciences,Communication
11353,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication-and-economics,Bachelor of Arts (Communication and Economics),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Communication
37063,RMIT University,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-professional-communication,Bachelor of Professional Communication,"Bachelor's Degree, single major","Full-time, 12 to 24 months",8 Mar - 25 Apr 2025 (Category A & Category B),"S$24,328.80 to S$55,249.92",Arts & Social Sciences,Communication
4274,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-bachelor-of-arts-communication,Bachelor of Science (Business Administration) and Bachelor of Arts (Communication),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Arts & Social Sciences,Communication
5792,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-geographic-information-science-and-bachelor-of-arts-communication,Bachelor of Science (Geographic Information Science) and Bachelor of Arts (Communication),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Arts & Social Sciences,Communication
7877,RMIT University,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-design-communication-design-top-up,Bachelor of Design (Communication Design) (Top-up),"Bachelor's Degree, top-up","Full-time, 1 year",11 Jan to 25 Apr 2025 (Jul 2025 Intake),"S$24,328.80 to S$27,624.96",Arts & Social Sciences,Design
4223,University at Buffalo,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-sociology,Bachelor of Arts (Sociology),"Bachelor's Degree, single major","Full-time, 3 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$41,627.10 - S$74,556.00 (Singaporean & PR) / S$46,008.90 - S$82,404.00 (International student)",Arts & Social Sciences,Sociology
4019,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-international-trade-and-sociology,Bachelor of Arts (International Trade and Sociology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Sociology
5992,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-geographic-information-science-and-bachelor-of-arts-sociology,Bachelor of Science (Geographic Information Science) and Bachelor of Arts (Sociology),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Arts & Social Sciences,Sociology
4122,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-psychology-and-sociology,Bachelor of Arts (Psychology and Sociology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Sociology
21676,University of Stirling,,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/master-of-science-gerontology-and-global-ageing,Master of Science Gerontology and Global Ageing,"Postgraduate/Masters, Single Major, Top-up","Part-time, 2 years | Part-time",22 Aug 2025,"S$30,520",Arts & Social Sciences,Sociology
5692,University at Buffalo,Double Degree,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-business-administration-and-bachelor-of-arts-sociology,Bachelor of Science (Business Administration) and Bachelor of Arts (Sociology),"Bachelor's Degree, double degree","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$64,615.20 - S$98,786.70 (Singaporean & PR) / S$71,416.80 - S$109,185.30 (International student)",Arts & Social Sciences,Sociology
3653,University at Buffalo,Double Major,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-arts-communication-and-sociology,Bachelor of Arts (Communication and Sociology),"Bachelor's Degree, double major","Full-time, 4 years",Now till 14 April 2025 (May (Summer) 2025 intake) | Now till 30 June 2025 (August (Fall) 2025 intake),"S$60,887.40 - S$84,496.80 (Singaporean & PR) / S$67,296.60 - S$93,391.20 (International student)",Arts & Social Sciences,Sociology
